,address,name,online_order,book_table,rate,votes,rest_type,dish_liked,cost
583,"39, 15th Cross, Besides HDFC Bank, 4th Phase, JP Nagar, Bangalore",Two Friends Cauldron,1,1,4.1,448,17,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",700.0
584,"458, 2nd Main Road, Mico Layout, Stage 1, BTM, Bangalore",Bun Town,1,0,4.0,203,12,"Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Cup Cake",500.0
585,"7, Hulimavu Begur Main Road, Near DLF, Akshya Nagar, Yelenahalli Village, Bannerghatta Road, Bangalore",Pot Biryani,1,0,3.1,166,53,Chicken Biryani,600.0
586,"99/4, Nataraja Layout, 7th Phase, JP Nagar, Bangalore",Mango Tree- The Beer Garden,1,1,4.1,1320,17,"Dragon Chicken, Mutton Biryani, Mocktails, Dal Makhani, Rumali Roti, Butter Naan, Paneer Tikka",1200.0
587,"54 & 65, Marenahalli Village, Sarakki Layout, JP Nagar, Bangalore",The Jade Kitchen,1,0,4.0,116,17,"Manchow Soup, Noodles, Dragon Rolls, Honey Chilli Potatoes, Spring Roll",400.0
588,"54/55, 3rd Cross, Omkar Nagar, Arekere Gate, Bannerghatta Road, Bangalore",Drunken Monkey,1,0,4.4,288,10,"Chicken Tikka Sandwich, Hot Chocolate Brownie, Red Velvet Shake, Chicken Sandwiches, French Fries, Cheese Sandwich, Irish Cream Coffee",400.0
589,"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",Woodee Pizza,1,0,2.7,85,11,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes",500.0
590,"746, 7th cross, 13th Main, BTM, Bangalore",Funky Punjab,1,0,3.9,124,53,"Roti, Dal Makhani, Lassi, Panneer Butter Masala, Kulcha, Masala Papad, Butter Chicken",400.0
591,"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Intalia,1,0,3.6,323,35,"Pasta, Garlic Bread, Salads, Chicken Lasagne, Blueberry Cheesecake, Salad, Thin Crust Pizza",800.0
592,"193, N.S. Pallya, Bannerghatta Road, Bangalore",Hotel Aradhana,1,0,3.7,51,53,"Akki Rottis, Neer Dosa",300.0
593,"11-12/49, First Floor, 14th Main, Puttenahalli Road, Kothnur Main Road, Beside Brigade Millenium, 7th Stage, JP Nagar, Bangalore",The Chervil,1,0,4.2,229,17,"Peri Peri Chicken Wings, Mix Grill Sizzler, Fish, Murgh Ghee Roast, Biryani, Caramel Custard, Paneer Tikka Masala",1000.0
594,"8/3, Opposite St. Thomas Parish Hall, 4th Cross, Bhavani Layout, Bannerghatta Road, Bangalore",New Royal Treat,1,0,2.8,102,53,"Roti, Chicken Biryani",350.0
595,"14/1, 23rd Main Road, Nagaraja Garden, JP Nagar, Bangalore",I Cool,1,0,4.0,76,53,Shawarma,150.0
596,"9, 24th Main, 4th Cross, Marenahalli Village, 2nd Phase, JP Nagar, Bangalore",Asha Sweets Centre,1,0,3.9,42,26,"Rabri, Panipuri, Badam Milk, Kachori, Moong Dal Halwa",250.0
597,"290, 15th Cross, 5th phase, JP Nagar, Bangalore",Stoned Monkey,1,0,3.9,239,26,"Coffee, Waffles, Hot Chocolate Fudge, Cheesy Garlic Bread",500.0
598,"30, 33rd Main, 16th Cross, 6th Phase, JP Nagar, Bangalore",Vinaya Cafe,1,0,3.7,55,53,"Coffee, Masala Dosa",200.0
599,"4, South End B Road, 9th Block, JP Nagar, Bangalore",World of Waffles,1,0,3.9,178,26,"Waffles, Nutella Pancakes, Nutella Waffle, Mexican Fries, Chocolate Overload, Chocolate Fondue, Ferrero Rocher",400.0
600,"Opposite Shell Petrol Bunk, Gottigare Bannerghatta Road, Bangalore",Oottupura Family Restaurant,1,0,3.4,224,53,"Appam, Tea, Chicken Curry, Kadala Curry, Fish, Egg Curry, Idiyappam",400.0
601,"744, 13th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",Vyanjan,1,0,3.9,199,53,"Poha, Jalebi, Paratha, Bhindi Masala, Kachori, Puri Sabzi, Samosa",300.0
602,"688, 2nd,Floor, 15th cross, 100ft Ring Road, Above Lathangi Ford Showroom, JP Nagar, Bangalore",Watson's,1,1,4.0,1010,49,"Beer, Pizza, Veg Starter, Martini, Mojito, Cocktails, Crispy Corn",1300.0
603,"296, Ground Floor, 5th Phase, 100 Feet Outer Ring Road, JP Nagar, Bangalore",Chicken Man,1,1,3.8,72,53,"Chicken Grill, Roast Chicken, Chicken Wings, Sweet Potato Mash, Pulled Chicken Burger, Sweet Potato Fries",400.0
604,"8 A, ANR Onyx, Near Shoppers Stop, Bannerghatta Road, Bangalore",Nandhana Palace,0,1,4.1,1000,18,"Chicken Guntur, Hyderabadi Chicken Biryani, Andhra Meal, Mutton Biryani, Vegetable Biryani, Andhra Style Chilli Chicken, Mojito",800.0
605,"268, 6th Main, 2nd Stage, BTM, Bangalore",On The Nose,1,0,3.8,613,11,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup",600.0
606,"Shop 26, Opposite Gopalan Innovation Mall, 2nd Stage, Bannerghatta Main Road, BTM, Bangalore",Udupi Thaja Thindi,1,0,2.9,42,53,"Masala Dosa, Vada, Filter Coffee",250.0
607,"NS Palya, 4th Phase, Near Shoppers Stop, BTM, Bangalore",Baba Ka Dhaba,1,0,3.7,194,53,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",400.0
608,"31, Near Corporation Bank, 60 Feet Road, Panduranga Nagar, Bannerghatta Road, Bangalore",Natural Ice Cream,0,0,4.3,423,26,"Chocolate Almond, Tender Coconut Ice Cream, Choco Almond, Coffee Walnut, Custard Apple",150.0
609,"1345, Southend Main Road, 9th Block JP NAGAR Bangalore, Jayanagar, Bangalore",Biriyani Mane,1,0,3.7,158,17,"Roti, Vegetable Biryani, Chicken Biryani",700.0
610,"37/953, 2nd Floor, 24th Main, Above HDFC Bank, 2nd Phase, JP Nagar, Bangalore",Churchill's,1,1,4.1,1403,23,"Cocktails, Pasta, Hara Bhara Kebab, Peppy Paneer, Paneer Pizza, Peri Peri Prawn, Fiery Paneer",1100.0
611,"45/1, 45/2, Bangalore Central, 45th Cross, 9th Block, Jayanagar, Bangalore",The Chocolate Room,1,0,3.9,153,35,"Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche",400.0
612,"154/9, Bannerghatta Main Rd",Aramane Restaurant,1,1,2.9,90,17,Afghan Chicken,800.0
613,"1, 1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore",Bawarchi Inn,1,0,3.1,140,17,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani",600.0
614,"294, 4th Floor, 7th Main, 7th Cross, Mico Employees Griha Nirmana Sangha Layout, 2nd Stage, BTM, Bangalore",Ruh's Cafe,1,0,4.1,463,11,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",500.0
615,"Near Reliance Mart, Shabari Complex, Arakere Mico Layout, Off B G Road, Bannerghatta Road, Bangalore",Mojo Pizza - 2X Toppings,1,0,4.2,384,63,"Chocolava Cake, Pepperoni Pizza, Veggie Pizza, Bbq Chicken, Paneer Tikka, Cheesy Garlic Bread, Cheese Burst Crust",600.0
616,"14/1/148/2A, Ground Floor, Near HSBC, Bannerghatta Road, Bangalore",California Burrito,0,0,4.0,177,53,"Rice Bowl, Nachos, Rice Bowls, Salad, California Burrito, Tacos, Salads",400.0
617,"5, 100 Feet Ring Road, Opposite Reliance Fresh, 1st Stage, BTM, Bangalore",Tandoor Garden,1,0,3.6,70,53,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken",350.0
618,"690/8, 14th Main, 15th Cross, 2nd Phase, JP Nagar, Bangalore",Caffe Pascucci,1,1,4.0,790,17,"Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas",1300.0
619,"135/15, 100 Feet Ring Road, 3rd Phase, JP Nagar, Bangalore",Chaitanya Cafe,1,0,3.9,92,53,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar",300.0
620,"Opposite Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Anand Sweets and Savouries,0,0,4.1,131,60,"Chole Bhature, Thali, Papdi Chaat, Shahi Paneer",400.0
621,"1231/35/2, 24th Main, Opposite Brigade Palm Springs, 7th Phase, JP Nagar, Bangalore",Berrylicious,1,0,3.8,89,26,"Macaroon, Brownie Sundae, Waffles",400.0
622,"1424/81, 9th Block East, South End, A Cross, Jayanagar, Bangalore",Pappu Da Dhaba,1,0,3.0,57,53,"Lassi, Chai, Paratha",400.0
623,"Unit 19, 3rd Floor, 172/1, Vega City Mall, Bannerghatta Road, Bangalore",Smoke - The Sizzler House,1,0,3.8,92,35,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries",1100.0
624,"55, 4th Floor, 15th Cross, 19th Main, 2nd Phase, JP Nagar, Bangalore",Chung Wah Opus,1,0,3.0,57,17,"Rice, Noodles, Chop Suey",650.0
625,"103/25, 2nd Main Road, Puttenhalli, 7th Phase, JP Nagar, Bangalore",Dream a Dozen,1,0,4.3,133,25,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie",300.0
626,"989, Ambika Corner, DC Road, Off Bannerghatta Road, Bilekahalli, Bannerghatta Road, Bangalore",Bread Crumbs Bakery,0,0,4.0,164,0,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle",250.0
627,"175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore",Nite Out,1,0,3.9,161,25,"Biryani, Noodles",500.0
628,"23, 3rd Floor, 26th Main Road, Opposite Ragigudda Arch, 9th Block Jayanagar, Bangalore",Willys Top Cafe,1,0,4.0,308,11,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries",750.0
629,"45/1-1, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",Woody's,1,0,2.6,208,17,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa",650.0
630,"48/4, Opposite Aikya Apartments, Chickakammanahalli, Hulimavu, Bannerghatta Road, Bangalore",The Curry Hut Plus,1,0,3.4,116,17,"Thai Chicken, Paratha, Mutton Fry",400.0
631,"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Brews N Bites,1,0,2.7,48,56,Thin Crust Pizza,650.0
632,"724, 3rd Floor, RBI Layout, Rini Pearl, Opposite E.K. Retail, 7th Phase, JP Nagar, Bangalore",Skytouch Le Cafe,1,0,3.7,127,11,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles",700.0
633,"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",Mudpipe Cafe,1,1,3.9,727,11,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers",800.0
634,"227,Sitaram Complex, Bilekahalli,opp to IIM-B, Bannerghatta Road, Bangalore",Vaho Kafe & Pressery,0,0,3.9,125,11,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta",500.0
635,"16, Above Dominos Pizza, Arakere Gate, Bannerghatta Road, Bangalore",Zhangs Classic,1,0,2.6,170,17,"Chowmein, Chicken Manchow Soup, Momos, Dragon Rolls, Chicken Momo, Hot Pot, Sweet Corn Chicken Soup",600.0
636,"97/2, Gottigere, Bannerghatta Road, Bangalore",Guru Greens,0,0,3.8,89,17,"Tandoori Chicken, Beer, Pepper Chicken, French Chicken",550.0
637,"1318, Near Bangalore Central, 2nd Phase, JP Nagar, Bangalore",D View Cafe,1,0,4.0,507,16,"Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings",1000.0
638,"727, 10th Main, 7th Cross, 2nd Stage, BTM Layout, BTM, Bangalore",Flavour of China,1,0,3.8,254,17,"Spring Roll, Chilli Chicken, Chowmein, Sweet Corn Chicken Soup, Dragon Chicken, Hakka Noodles, Chop Suey",550.0
639,"Arekere Village, 80 Feet Road, Opposite Paramount Apartments, Bannerghatta Road, Bangalore",Kabab Treat,1,0,2.8,334,17,"Biryani, Tandoori Chicken, Chicken Grill, Shawarma Roll",500.0
640,"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,0,0,3.8,69,12,"Coffee, French Fries, Lemon Tea, Veg Sandwich",700.0
641,"745/AB, 2nd Floor, Shravanee Square, 24th Main, 15th cross, 6th Phase, JP Nagar, Bangalore",Casa Piccosa,1,1,4.1,842,18,"Cocktails, Cajun Chicken, Beer, Salads, Chilli Babycorn, Chicken Tacos, Murgh Platter",1100.0
642,"#1178,18th A Main Road, 3rd Cross, 2nd Phase, JP Nagar, Bangalore",Bake Addiction,1,0,4.0,88,0,"Cup Cake, Swiss Roll",500.0
643,"10, Near Post Office, 16th Main Rd, Mahadeshwara Nagar, 2nd Stage, BTM, Bangalore",Tongue Twisters,1,0,3.5,283,53,"Veg Thali, Fish Thali",350.0
644,"277, 15th Cross, 21 Main, Outer Ring Road, JP Nagar 5th Phase, JP Nagar, Bangalore",Vaathsalya Millet Cafe,1,1,4.1,293,17,"Khichda, Thali, Jowar Roti, Cucumber Juice, Brownie, Palak Soup, Buttermilk",500.0
645,"197, Next to Reliance Mart, Opposite Accenture, Hulimaavu, Bannerghatta Road, Bangalore",Guru Garden,0,0,2.9,106,17,Biryani,450.0
646,"80, 2nd Main,1st Cross, 2nd Stage, BTM, Bangalore",Brewz Coffee,1,0,3.0,61,11,"Coffee, Sandwiches, Cappuccino",650.0
647,"225-226, Above Canara Bank, Arakere Gate, Bannerghatta Road, Bangalore",Athithi,0,0,2.8,80,17,Dum Biryani,650.0
648,"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",Melt - Eden Park,1,1,4.0,347,17,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles",1000.0
649,"1065/A, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Sri Bhagya Grand,1,0,3.4,186,17,"Pav Bhaji, Tea, Tandoori Roti, Coffee, Malai Kofta, Vada, Curd Rice",450.0
650,"Arjun Aura Apartment, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Flavorsome Bakes,0,0,4.0,93,63,"Cup Cake, Pineapple Cake",800.0
651,"19, Jalaram Industrial Estate, Opposite Food World, Arakere Gate, Bannerghatta Road, Bangalore",Mast Kalandar,0,0,2.4,183,25,"Lassi, Raita, Chole, Dal Makhani, Gulab Jamun, Buttermilk",450.0
652,"4th Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Shiv Sagar,0,0,2.9,85,53,"Masala Dosa, Chole Bhature, Coffee",250.0
653,"204, Panduranga Nagar, Opposite HSBC, Bannerghatta Road, Bangalore",Coastal Inn,0,0,3.4,66,17,"Biryani, Sea Food, Fish Thali",800.0
654,"DLF City Road, Near Sai Baba Temple, Arekere, Bannerghatta Road, Bangalore",Bangalir Rannaghar,0,0,2.9,58,53,Noodles,250.0
655,"Doddakammanahalli Main Road, Near Aikya Apartment, Next to Chef & Butcher, Bannerghatta Road, Bangalore",Lalchee's Rasoi,0,0,3.6,162,17,"Rolls, Chicken Curry, Hara Bhara Kebab, Egg Masala, Egg Curry, Naan, Roti",500.0
656,"Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Kailash Parbat,0,0,2.7,67,35,"Chole, Chaat, Gulab Jamun, Dahipuri, Sev Puri, Bhel Puri, Pakoda",300.0
657,"Opposite Ranka Colony, Bilekahalli, Bannerghatta Road, Bangalore",Tandoor Hut,0,0,2.2,90,17,"Noodles, Tandoori Chicken",750.0
658,"85/3, Chamundeshwari Layout, Arekere , Near Paramount Pilatus, Bannerghatta Road, Bangalore",Zaika Take Away,0,0,2.4,96,17,"Butter Naan, Kadhai Mushroom",500.0
659,"16, Survey Number 13, Omkar Nagar, Arekere, Bannerghatta Road, Bangalore",Malhar Maharashtrian Cuisine,1,0,4.0,101,17,"Brinjal Curry, Misal Pav, Chicken Thali, Chicken Kolhapuri, Sabudana Vada, Veg Thali",500.0
660,"949, 2nd Floor, 24th Main, 2nd Phase, JP Nagar, Bangalore",Mandi,1,1,3.8,560,17,"Phirni, Chaat, Noodles, Rasgulla, Rabri, Butter Naan, Jalebi",800.0
661,"26, 16th Cross, 5th Phase, 100ft Ring Road, Opposie Canara Bank, JP Nagar, Bangalore",Pallavi North Indian Veg Restaurant,1,0,3.7,243,17,"Butter Paneer, Butter Naan, Panneer Butter Masala, Tandoori Roti",450.0
662,"G-2, Ground Floor, Next To Ample Mart, Begur Hulimavu Road, Akshay Nagar, Bannerghatta Road",Idly Pidly,1,0,3.2,148,53,Tea,250.0
663,"204, Opposite HSBC Bank, 11th KM Stone, Bilekahalli, BG Road, Bannerghatta Road, Bangalore",Vasudev Adiga's,0,0,2.3,291,17,"Coffee, Masala Dosa, Curd Rice, Idli Vada",250.0
664,"4th Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",TGI Fridays,1,1,3.9,1337,39,"Cocktails, Salads, Burgers, Long Island Iced Tea, Tacos, Nachos, Steak",1700.0
665,"1065 B, 5th Cross, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",Apsara Ice Cream,0,0,4.0,65,26,Panipuri,200.0
666,"63, 7th Cross , 24th Main, 2nd Phase, JP Nagar, Bangalore",Targaryen's Kitchen,1,0,3.6,43,17,Tandoori Chicken,600.0
667,"B-5, Hermain Complex, 16th Main, 2nd Stage",Desi Vibes,1,0,3.7,46,17,Malai Kofta,400.0
668,"427, Ground Floor, 7th Main, 7th Cross, BTM Layout, Bangalore",Kulfi & More,1,0,3.7,46,26,"Faluda, Rabri, Malai Kulfi",150.0
669,"139, 24th Main, 2nd Cross, 2nd Phase, JP Nagar, Bangalore",Dal Roti,1,0,3.7,117,53,"Dal Makhani, Thali, Rajma Masala, Dal Fry, Sweet Lassi, Gulab Jamun",150.0
670,"5th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Deja Vu Resto Bar,1,1,4.4,2487,48,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta",900.0
671,"70/71, Seetharam Complex, Bilekahalli, Bannerghatta Main Road, Bannerghatta Road, Bangalore",Status,1,0,3.2,66,17,Prompt Service,600.0
672,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",Bottle Breacher,0,1,4.1,1187,23,"Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos",1200.0
673,"281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",Sattvam,0,0,4.3,353,17,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani",1200.0
674,"55, Goenka Chambers, Jeevan Griha Colony, 19th Main, Phase 2, JP Nagar, Bangalore",Kesariya,0,1,4.2,1212,17,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",1200.0
675,"House 86, Ground Floor 3rd cross 1st Main N.S. Palya, Behind Shoppers Stop, BTM Layout, BTM 2nd stage Bangalore",Swad Restaurant,1,0,3.7,115,17,"Thali, Paratha, Dal Kichadi",550.0
676,"47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",Checkpost,1,0,4.1,952,17,"Filter Kaapi, Coffee, Egg Curry, Neer Dosa, Kadala Curry, Ghee Idli, Noodles",400.0
677,"726/A, 24th Main Road, 6th Phase, JP Nagar, Bangalore",Nandhini Paradise,0,0,3.8,915,17,"Ghee Rice, Hyderabadi Biryani, Butter Naan, Chicken Guntur, Thali",600.0
678,"8, 19th Cross, 7th Main, BTM Layout, 2nd Stage, BTM, Bangalore",New Kabab Plaza,1,0,3.7,135,17,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice",500.0
679,"312, 2nd Floor, 15th Cross, 100 Feet Road, 5th Phase, JP Nagar, Bangalore",Coastal Mama,0,1,4.1,466,17,"Murgh Ghee Roast, Neer Dosa, Sea Food, Fish, Prawn Ghee Roast, Prawn Curry, Buttermilk",700.0
680,"41, Near Royal School, 24th Main, JP Nagar, Bangalore",Waah Biryani,0,0,3.8,115,53,"Biryani, Butter Chicken, Chicken Wings, Tandoori Chicken, Chicken Grill, Arabian Grape Juice",350.0
681,"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",Rara Avis,0,0,3.9,61,63,Chicken Curry,400.0
682,"17, Opposite to Royal High School, 24th Main, Brigade Millennium Road, JP Nagar, Bangalore",Baskin Robbins,0,0,3.9,86,26,Mississippi Mud,250.0
683,"312, 15th cross, 5th phase, JP Nagar, Bangalore",Royal Chef Naati Oota,0,0,4.0,193,17,"Chicken Biryani, Donne Biryani, Chilli Chicken, Mutton Chops, Paratha, Mutton Biryani, Nati Biryani",500.0
684,"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",Flow - Terrace Bar & Grill,0,0,3.8,82,40,"Cocktails, Pizza, Chicken Tikka, Fish, Burgers, Nachos, Almond Flakes",1000.0
685,"5, SSAR Towers, Opposite Royal School, 24th Main Road, 5th Phase, JP Nagar, Bangalore",Sree Krishna Kafe,0,0,3.9,115,53,"Vada, Pongal, Podi Idli, Masala Dosa, Podi Dosa, Idiyappam, Rice",200.0
686,"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",Dilish Kitchens,0,0,3.7,28,17,Biryani,500.0
687,"135/5, 15th Cross, 3rd Stage, JP Nagar, Bangalore",Daily Bread,0,0,3.2,63,3,"Pasta, Sandwiches, Cappuccino, Sandwich",600.0
688,"29th Main Road, EWS Colony, Stage 2 Bengaluru, Karnataka",Owl's Kitchen,0,0,3.1,44,25,Brownie,500.0
689,"4, Sai Arcade,1st Floor, Wilson Garden Society, Kothnur Main Road, 7th Phase, JP Nagar, Bangalore",Deccan Spice,0,0,3.5,65,17,"Hyderabadi Biryani, Dum Ka Chicken, Rice",750.0
690,"251/1009, Near Vijaya Bank Layout, Bilekahalli, 4th Stage, BTM, Bangalore",Desi Wok,0,0,2.7,76,53,"Biryani, Manchow Soup, Naan",500.0
691,"910, 5th Cross Road, Vijaya Bank Layout, Bilekahalli,BTM, Bangalore",Namana Garden,0,0,2.6,75,53,Vada,400.0
692,"114/512, Kothanur Main Road, 7th Phase, JP Nagar, Bangalore",Andhra Grills,0,0,3.0,55,17,"Andhra Meal, Thali",800.0
693,"31, 7th Phase, JP Nagar, Bangalore",Petoo,0,0,3.7,48,17,"Jal-jeera, Paratha, Chaat",800.0
694,"487, Ground Floor, 16th Cross, 4th Phase, JP Nagar, Bangalore",Night Panda,0,0,2.9,39,63,"Burgers, Chicken Biryani",500.0
695,"795, 8th Main, 3rd Phase, JP Nagar, Bangalore",Kamat Swaad,1,0,3.9,193,17,"Jowar Roti, Akki Rottis, Buttermilk, Idli, Thali, Vada, Bajji",400.0
696,"26/2, Dodda Kammanahalli, Bannerghatta Road, Bangalore",Ishta Cafe,1,0,3.9,63,53,"Burgers, Masala Dosa, Millet Pizza, Falafel Wrap",200.0
697,"1346, Marenahalli Road, KSRTC Layout, Near Bangalore Central Mall, 2nd Phase, JP Nagar, Bangalore",Cafe Mist,1,0,3.8,186,11,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos",500.0
698,"Bannerghatta Road, Bangalore",Fat Chef Biryani Wale,1,0,3.3,28,63,"Biryani, Gulab Jamun",400.0
699,"31, Near Corporation Bank, 60 Feet Road, Panduranga Nagar, Bannerghatta Road, Bangalore",Natural Ice Cream,0,0,4.3,423,26,"Chocolate Almond, Tender Coconut Ice Cream, Choco Almond, Coffee Walnut, Custard Apple",150.0
700,"7, Near RTO, Opposite Nano Hospital, 80 Feet Road, Bannerghatta Road, Bangalore",Amma's Pastries,0,0,4.0,102,0,Cheesecake,400.0
701,"Opposite Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Anand Sweets and Savouries,0,0,4.1,131,60,"Chole Bhature, Thali, Papdi Chaat, Shahi Paneer",400.0
702,"989, Ambika Corner, DC Road, Off Bannerghatta Road, Bilekahalli, Bannerghatta Road, Bangalore",Bread Crumbs Bakery,0,0,4.0,164,0,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle",250.0
703,"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,1,0,3.9,102,11,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake",450.0
704,"1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Bannerghatta Road, Bangalore",Cakebuy,1,0,3.9,70,26,Chocolate Truffle,350.0
705,"71, 1st Main Road, Panduranga Nagar, Doresanipalya Ward, Bannerghatta Road, Bangalore",Polar Bear,1,0,3.9,188,26,"Sandwiches, Hot Chocolate Fudge, Brownie, Sandwich",400.0
706,"Mahadheshwara Swami Nilaya, 1/2, 1st Floor, DLF Circle Main Road, Near Akshaynagar, Yelenahalli, Bannerghatta Road, Bangalore",World on a Swirl,0,0,3.8,46,30,Courteous Staff,300.0
707,"Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Waffle Walle,1,0,4.4,677,38,"Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles",500.0
708,"3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",WAFL,1,0,3.9,40,35,Waffles,400.0
709,"3, Third Floor, Vega City Mall, Bannerghatta Road, Bangalore",Cold Stone Creamery,1,0,3.9,99,26,"Brownie, Chocolate Devotion, Icecream Cake, Cotton Candy Ice Cream, Coffee, Strawberry Smoothie",400.0
710,"Arjun Aura Apartment, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Flavorsome Bakes,0,0,4.0,93,63,"Cup Cake, Pineapple Cake",800.0
711,"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,0,0,3.8,69,12,"Coffee, French Fries, Lemon Tea, Veg Sandwich",700.0
712,"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",Sweet Truth,1,0,4.1,41,25,"Cheesecake, Chocolate Decadence, Pancakes, Chocolate Fantasy, Chocolava Cake, Chocolate Cake, Red Velvet Cake",500.0
713,"1065 B, 5th Cross, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",Apsara Ice Cream,0,0,4.0,65,26,Panipuri,200.0
714,"39, 15th Cross, Besides HDFC Bank, 4th Phase, JP Nagar, Bangalore",Two Friends Cauldron,1,1,4.1,448,17,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza",700.0
715,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,1,0,4.1,46,11,"Pasta, Sandwiches",600.0
