online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
1,0,3.7,514,3,10,206,600.0,518
1,1,4.0,866,18,15,532,900.0,518
1,0,3.2,96,24,43,468,400.0,518
1,0,3.5,80,1,43,691,250.0,518
1,0,4.0,73,3,0,78,300.0,309
1,0,3.9,84,18,49,457,400.0,518
1,0,3.5,88,1,43,664,350.0,518
1,0,3.5,179,1,15,487,600.0,518
1,0,3.7,128,43,15,496,450.0,518
1,0,3.8,339,18,43,662,400.0,83
1,0,3.0,213,1,43,583,400.0,518
1,0,3.2,208,18,9,684,250.0,414
1,0,4.0,219,3,10,204,600.0,518
1,0,3.7,59,1,43,596,200.0,518
1,0,3.7,124,24,15,123,750.0,518
1,1,4.1,775,1,15,564,800.0,518
1,1,4.2,2022,18,15,578,1000.0,518
1,1,4.2,150,1,10,210,600.0,146
1,0,4.0,232,3,15,484,750.0,518
1,1,3.5,431,18,15,468,800.0,518
1,1,4.2,2115,1,15,614,800.0,518
1,0,3.8,155,18,15,666,450.0,518
1,1,4.1,666,18,16,21,1000.0,518
1,0,3.9,240,3,10,146,700.0,518
1,0,3.8,918,1,12,222,800.0,518
1,0,4.0,465,18,15,666,600.0,277
1,1,4.1,970,18,35,537,1500.0,518
1,0,3.3,128,1,43,484,300.0,518
1,0,3.6,241,24,43,484,300.0,518
1,0,4.3,734,1,43,666,200.0,326
1,0,3.8,130,18,43,476,400.0,518
1,0,4.2,261,18,10,175,700.0,518
1,0,4.0,191,24,43,667,300.0,19
1,0,4.1,364,3,15,651,550.0,20
1,0,3.9,888,1,15,586,750.0,274
1,0,3.9,750,3,15,523,500.0,343
1,1,4.2,164,1,10,170,500.0,518
1,0,3.8,527,3,15,468,500.0,518
0,0,4.3,345,1,23,387,400.0,518
1,0,3.9,116,1,23,390,400.0,263
1,0,3.8,918,1,12,222,800.0,518
1,0,3.8,144,1,10,236,700.0,518
1,0,4.3,860,1,23,323,500.0,518
0,0,3.8,45,1,52,68,400.0,518
1,0,3.9,70,1,23,347,400.0,518
0,0,4.0,98,3,50,458,400.0,518
1,0,4.0,219,3,10,204,600.0,492
1,0,4.0,73,3,0,78,300.0,309
1,0,2.7,97,3,15,666,400.0,518
1,0,3.9,888,1,15,586,750.0,273
1,1,4.0,349,1,15,629,1200.0,124
1,0,4.2,287,1,43,468,350.0,518
1,1,4.6,2556,1,17,605,600.0,518
1,1,4.2,354,1,15,57,800.0,72
1,1,4.1,775,1,15,564,800.0,518
1,1,4.2,2115,1,15,614,800.0,518
0,1,3.8,977,1,31,361,1300.0,518
0,0,4.1,868,1,38,299,1200.0,518
1,0,4.0,324,1,10,210,700.0,452
1,0,4.1,787,1,15,257,800.0,518
1,0,4.2,504,1,10,223,550.0,104
1,0,4.1,402,1,10,146,500.0,350
1,1,4.2,150,1,10,210,600.0,147
1,1,4.2,164,1,10,170,500.0,212
0,0,4.2,244,1,15,409,800.0,518
1,0,4.0,771,1,15,662,450.0,465
1,0,4.2,1647,1,15,265,600.0,518
0,1,4.0,808,1,15,484,850.0,518
0,0,4.0,424,1,10,171,450.0,518
1,0,3.9,135,1,15,497,800.0,372
1,0,3.8,918,1,12,222,800.0,518
1,0,3.8,90,1,10,146,650.0,518
1,0,3.9,519,1,15,245,900.0,518
1,0,3.6,105,1,15,692,700.0,518
1,0,3.9,133,1,10,197,800.0,136
1,0,3.8,144,1,10,236,700.0,518
0,0,3.9,93,1,10,205,300.0,518
1,0,3.8,42,1,43,662,300.0,296
1,0,2.5,247,1,15,468,500.0,290
1,0,3.0,62,1,10,199,400.0,239
1,0,3.8,160,1,15,484,700.0,409
1,0,3.6,129,1,15,444,600.0,138
0,0,3.3,62,1,4,662,800.0,518
0,0,2.6,283,1,15,468,600.0,518
1,0,3.8,59,1,15,484,750.0,518
1,0,3.5,179,1,15,487,600.0,366
0,0,3.0,98,1,4,484,800.0,518
0,0,2.7,128,1,15,262,850.0,518
1,0,2.8,45,1,15,615,800.0,227
1,0,3.5,41,40,29,609,400.0,518
1,0,3.7,405,1,15,608,750.0,428
1,0,3.9,388,1,15,127,650.0,107
1,0,4.3,734,1,43,666,200.0,482
0,0,4.0,1047,1,43,400,450.0,518
1,0,3.8,505,1,43,139,450.0,75
1,0,3.9,264,1,43,642,200.0,328
1,0,3.9,286,1,43,139,500.0,345
0,0,3.8,70,1,43,339,500.0,518
1,0,3.7,237,1,43,654,200.0,215
1,0,4.1,201,1,43,666,300.0,200
1,0,2.8,506,1,43,544,500.0,518
0,0,4.1,520,1,43,103,300.0,518
0,0,3.7,88,1,43,661,300.0,518
1,0,3.7,136,1,43,625,600.0,98
0,0,3.9,88,1,43,642,250.0,518
0,0,3.8,189,1,43,642,300.0,518
0,0,3.8,39,1,43,650,350.0,518
1,0,3.9,540,1,43,608,800.0,316
0,0,3.6,71,1,43,578,250.0,518
1,0,3.5,88,1,43,664,350.0,116
1,0,3.0,87,1,43,610,600.0,355
1,0,4.2,415,1,43,481,500.0,112
1,0,3.3,128,1,43,484,300.0,197
0,0,3.7,65,1,43,360,300.0,518
0,0,3.5,52,1,43,642,300.0,518
1,0,3.0,290,1,43,492,450.0,9
1,0,3.7,59,1,43,596,200.0,518
0,0,3.7,130,1,43,642,200.0,518
1,0,3.5,80,1,43,691,250.0,430
1,0,3.9,441,1,43,664,400.0,211
1,0,3.6,84,1,43,662,250.0,86
0,0,4.0,42,1,43,672,300.0,518
1,0,3.0,213,1,43,583,400.0,439
0,0,4.2,725,18,43,645,350.0,518
1,0,3.9,750,3,15,523,500.0,342
0,0,3.8,166,3,15,574,600.0,518
0,0,3.9,153,3,15,642,350.0,518
1,0,3.8,469,3,15,487,750.0,189
1,0,4.1,364,3,15,651,550.0,487
1,0,3.8,286,3,15,468,600.0,363
1,0,3.8,527,3,15,468,500.0,52
0,0,3.8,148,3,17,482,550.0,518
0,0,2.7,377,3,38,530,1100.0,518
0,0,3.9,206,3,43,660,450.0,518
0,0,3.9,100,3,43,662,300.0,518
0,0,3.9,133,3,15,399,650.0,518
1,0,4.0,219,3,10,204,600.0,492
0,0,4.2,253,3,43,642,250.0,518
0,0,3.7,61,3,15,133,600.0,518
1,0,3.8,155,30,15,657,400.0,425
1,0,3.9,233,18,15,412,800.0,99
1,0,3.7,264,30,15,490,750.0,361
0,0,4.1,238,3,43,642,600.0,518
1,0,4.1,176,3,15,28,800.0,339
1,0,3.7,93,3,43,676,200.0,180
0,0,3.8,124,3,43,656,300.0,518
1,0,4.0,132,3,43,336,200.0,518
1,0,3.8,74,3,43,662,300.0,446
1,0,3.6,172,43,15,484,700.0,518
1,0,3.9,543,3,43,654,300.0,518
0,0,4.0,52,3,43,642,300.0,518
0,0,3.7,217,3,15,526,450.0,518
0,0,3.9,111,3,15,516,700.0,518
1,0,3.8,133,3,43,677,200.0,464
0,0,3.8,39,18,43,661,250.0,518
0,0,4.0,64,3,43,642,200.0,518
0,0,3.8,55,40,29,258,300.0,518
0,1,3.8,977,1,31,361,1300.0,518
0,0,4.1,868,1,38,299,1200.0,518
0,0,3.3,62,1,4,662,800.0,518
0,0,3.0,98,1,4,484,800.0,518
0,0,2.7,377,3,38,530,1100.0,518
1,1,4.4,2487,2,38,549,900.0,518
1,1,4.2,1964,2,15,38,1000.0,59
1,0,4.3,3178,2,15,572,750.0,297
1,0,3.3,455,2,15,21,550.0,241
0,1,4.7,3845,17,15,541,1600.0,518
0,0,4.3,353,17,15,578,1200.0,518
0,1,4.1,1234,17,15,582,800.0,518
1,1,4.1,1538,17,15,61,1000.0,143
1,1,3.8,756,17,15,468,1000.0,518
1,1,4.0,347,17,15,531,1000.0,518
0,1,4.0,165,17,15,664,1000.0,518
0,0,3.3,177,17,15,497,950.0,518
1,0,3.0,102,0,15,662,600.0,287
0,1,4.0,200,2,10,171,700.0,518
1,0,3.9,102,2,10,157,450.0,500
1,0,3.7,171,2,10,146,300.0,127
1,0,3.7,37,2,10,159,400.0,301
1,0,3.9,40,2,27,198,400.0,70
0,0,3.9,125,2,10,201,500.0,518
1,0,3.9,49,2,10,146,600.0,188
0,0,3.8,69,2,11,156,700.0,518
0,0,3.9,78,2,10,146,350.0,518
1,0,2.7,48,2,46,242,650.0,348
1,0,4.1,46,17,10,228,600.0,467
0,0,4.0,129,17,10,171,600.0,518
1,1,3.9,727,17,10,185,800.0,50
0,0,4.1,521,17,10,180,550.0,518
1,0,4.1,203,17,46,163,650.0,41
1,1,4.4,4381,17,17,605,600.0,233
1,0,3.7,131,17,10,229,400.0,278
1,0,3.7,46,17,10,136,450.0,504
0,0,3.4,48,17,10,193,550.0,518
1,0,3.7,127,17,10,214,700.0,63
1,0,2.7,85,17,10,225,500.0,314
1,0,3.7,335,0,15,27,800.0,518
1,0,3.8,254,0,15,116,800.0,245
1,0,4.1,63,17,52,359,300.0,230
1,0,4.0,244,0,43,81,400.0,518
1,0,2.9,255,0,43,468,250.0,518
1,0,4.5,549,0,23,316,400.0,518
1,0,4.1,775,0,43,666,300.0,518
1,0,3.6,208,17,52,119,300.0,501
1,0,4.1,739,17,22,247,500.0,476
1,0,3.8,310,2,43,468,400.0,121
1,0,4.1,427,2,52,566,500.0,199
1,0,4.0,197,0,43,468,300.0,518
1,0,4.1,601,0,43,611,700.0,491
1,0,3.9,488,17,52,113,400.0,123
1,0,4.0,396,2,43,662,400.0,518
1,0,3.6,474,0,43,506,450.0,518
1,0,2.9,172,0,43,484,300.0,327
1,0,3.1,175,2,43,16,250.0,518
1,0,4.0,939,0,15,244,600.0,518
1,0,3.9,173,0,43,602,250.0,506
1,0,3.9,77,2,43,468,400.0,45
1,0,3.9,326,0,10,483,200.0,518
1,0,3.3,212,17,43,97,350.0,133
1,0,4.1,464,0,43,475,300.0,518
1,0,3.3,628,2,22,375,450.0,421
1,0,3.6,518,17,15,662,400.0,289
1,0,3.9,70,2,23,312,350.0,68
1,0,3.9,62,17,43,141,300.0,118
1,0,4.4,819,18,23,387,400.0,518
1,1,4.2,1964,2,15,38,1000.0,58
1,0,4.0,138,2,22,96,650.0,207
1,0,3.3,455,2,15,21,550.0,240
1,0,3.8,181,2,27,476,600.0,374
1,0,3.6,43,17,43,134,300.0,90
1,0,2.7,159,17,43,604,750.0,428
1,0,3.2,166,2,43,625,600.0,518
1,0,3.7,128,2,52,116,400.0,283
1,0,2.9,126,0,43,247,300.0,65
1,0,4.0,952,18,43,553,400.0,206
1,0,3.8,472,2,43,140,600.0,195
1,1,4.0,739,2,15,125,800.0,303
1,0,3.9,255,0,15,21,500.0,120
1,0,4.0,1974,17,15,124,800.0,481
1,1,4.2,1428,17,15,26,800.0,144
1,0,4.0,332,17,43,662,300.0,518
1,1,4.0,199,17,43,610,700.0,232
1,0,3.9,437,17,43,139,400.0,77
1,0,3.8,207,2,15,98,700.0,106
1,1,4.4,4381,17,17,605,600.0,518
1,0,3.8,55,2,43,662,300.0,518
1,0,4.0,597,2,43,468,400.0,167
1,0,3.0,102,0,15,662,600.0,518
1,0,3.9,189,0,43,108,300.0,129
1,0,3.7,131,17,10,229,400.0,518
1,0,4.2,373,17,15,110,750.0,518
1,0,3.9,435,0,15,79,650.0,307
1,0,4.1,292,0,15,104,700.0,518
1,0,3.6,137,2,43,36,300.0,518
1,0,3.2,133,2,15,488,500.0,518
1,0,3.9,37,17,52,628,250.0,391
1,0,3.7,170,17,43,354,200.0,518
1,0,3.6,794,2,15,120,550.0,426
1,0,4.6,404,2,15,0,1000.0,518
1,1,3.9,561,2,15,468,900.0,518
1,1,3.9,486,0,10,302,700.0,518
1,0,3.9,320,2,15,484,650.0,250
1,0,4.1,237,17,23,325,500.0,262
1,1,3.9,1227,2,15,48,900.0,126
1,0,4.0,95,2,22,453,600.0,510
1,1,4.1,1538,17,15,61,1000.0,247
1,0,3.7,110,2,15,17,800.0,358
1,0,4.1,381,0,43,36,250.0,410
1,0,3.9,251,2,22,481,500.0,113
1,0,3.0,353,17,43,528,400.0,518
1,0,4.0,205,17,22,476,450.0,214
1,0,3.9,183,0,43,358,250.0,478
1,0,3.9,99,2,23,387,400.0,518
1,0,4.1,260,17,43,468,300.0,518
1,0,3.9,355,0,43,484,400.0,518
1,0,4.1,83,0,43,350,400.0,518
1,0,2.5,321,17,43,508,400.0,347
1,0,3.9,362,0,15,468,600.0,518
1,1,4.2,2166,17,41,5,1200.0,185
1,0,4.0,182,17,49,457,400.0,518
1,1,3.8,500,2,15,589,1000.0,518
1,0,4.0,532,2,15,266,800.0,518
1,1,3.5,551,2,15,507,600.0,518
1,0,4.2,421,2,15,262,700.0,518
1,0,3.7,662,17,15,80,650.0,518
1,0,3.8,54,2,43,128,500.0,382
1,0,4.1,92,0,43,238,300.0,105
1,0,3.7,36,17,22,116,600.0,82
1,0,4.2,2350,17,15,468,800.0,518
1,0,3.9,49,2,10,146,600.0,518
1,0,3.7,184,0,43,352,400.0,518
1,1,3.6,225,2,15,120,700.0,441
1,0,4.0,35,0,24,317,300.0,62
1,0,4.0,869,0,22,104,500.0,134
1,0,4.0,153,17,43,678,200.0,518
1,0,3.7,139,2,43,519,400.0,518
1,0,3.7,181,2,22,116,500.0,518
1,0,3.9,669,0,15,468,500.0,442
1,0,3.7,168,2,43,451,600.0,518
1,0,3.8,170,2,43,514,250.0,518
1,0,4.0,112,17,43,683,200.0,518
1,0,3.8,58,0,43,82,300.0,385
1,0,4.0,167,18,43,662,400.0,518
1,0,3.9,85,17,43,619,300.0,518
1,0,2.6,473,0,43,410,600.0,100
1,0,3.7,217,17,15,582,500.0,518
1,0,3.6,192,0,22,372,450.0,518
1,1,4.2,611,0,16,55,1500.0,187
1,0,4.0,166,2,22,604,750.0,177
1,0,4.1,46,17,10,228,600.0,518
1,1,4.4,2233,2,16,310,1200.0,518
1,0,4.0,107,0,43,468,300.0,518
1,0,4.2,306,0,22,423,600.0,518
1,1,3.8,756,17,15,468,1000.0,518
1,1,4.4,4309,17,34,274,1600.0,518
1,0,4.0,212,2,43,468,400.0,518
1,0,2.9,153,2,43,79,600.0,518
1,0,4.0,827,0,15,619,500.0,518
1,0,4.0,256,2,43,139,500.0,518
1,0,3.9,40,2,27,198,400.0,518
1,0,3.9,73,2,52,658,400.0,518
1,0,4.2,169,17,10,161,600.0,518
1,0,4.1,586,17,15,244,700.0,518
1,0,3.5,221,0,50,455,400.0,518
1,0,3.5,177,0,43,82,500.0,518
1,0,3.9,347,17,15,265,600.0,518
1,0,3.0,347,2,43,608,800.0,317
1,0,3.9,385,17,43,610,600.0,518
1,0,4.0,1305,17,15,274,750.0,518
1,0,3.0,122,2,15,265,500.0,518
1,0,4.3,539,17,43,271,300.0,518
1,1,3.9,681,2,15,522,800.0,518
1,0,3.8,106,17,22,132,350.0,518
1,1,4.1,1025,2,15,468,1000.0,518
1,0,3.6,132,2,9,684,250.0,518
1,0,4.2,289,2,43,2,400.0,518
1,0,3.9,407,17,15,484,500.0,518
1,0,3.9,201,2,43,484,250.0,518
1,0,3.7,37,2,10,159,400.0,518
1,0,4.1,203,17,46,163,650.0,41
1,0,3.1,320,17,15,563,600.0,518
1,1,3.8,257,2,15,30,800.0,518
1,0,3.8,46,17,43,604,450.0,518
1,0,3.9,102,2,10,157,450.0,518
1,1,4.2,237,17,17,155,600.0,518
1,0,3.7,108,2,43,439,600.0,518
1,0,3.9,34,17,15,444,750.0,518
1,0,3.2,144,2,43,494,350.0,244
1,1,4.2,1028,17,16,268,1100.0,518
1,0,3.8,84,2,22,15,600.0,392
1,0,4.0,181,17,15,491,550.0,518
1,0,4.0,128,0,23,383,230.0,331
1,0,3.8,171,17,43,468,250.0,518
1,0,3.9,200,17,43,440,400.0,518
1,0,3.0,114,2,15,233,1000.0,518
1,0,3.8,146,17,15,233,600.0,518
1,0,4.2,248,0,24,86,500.0,46
1,1,4.1,583,17,16,290,1200.0,518
1,0,3.7,42,17,43,484,500.0,518
1,0,3.7,171,2,10,146,300.0,518
1,0,3.7,79,17,43,341,500.0,518
1,0,3.7,46,17,10,136,450.0,518
0,0,4.2,1278,2,15,17,800.0,518
1,0,3.4,276,0,47,599,250.0,518
1,0,3.1,64,17,15,646,750.0,518
1,0,4.0,69,0,23,316,300.0,518
1,0,3.7,288,24,43,484,500.0,360
1,0,4.3,676,2,30,315,500.0,518
1,0,4.0,65,17,6,90,600.0,457
1,1,4.1,448,17,15,295,700.0,518
1,0,4.0,203,0,11,156,500.0,518
1,0,3.1,166,2,43,495,600.0,518
1,1,4.1,1320,17,15,497,1200.0,518
1,0,4.0,116,17,15,262,400.0,518
1,0,4.4,288,2,9,90,400.0,518
1,0,2.7,85,17,10,225,500.0,518
1,0,3.9,124,0,43,484,400.0,518
1,0,3.6,323,2,27,610,800.0,518
1,0,3.7,51,2,43,468,300.0,518
1,0,4.2,229,17,15,532,1000.0,518
1,0,2.8,102,2,43,484,350.0,518
1,0,3.9,42,17,23,336,250.0,518
1,0,3.9,239,17,23,323,500.0,518
1,0,3.7,55,17,43,674,200.0,518
1,0,3.9,178,17,23,312,400.0,518
1,0,3.4,224,2,43,430,400.0,518
1,0,3.9,199,0,43,596,300.0,518
1,1,4.0,1010,17,39,362,1300.0,518
1,1,3.8,72,17,43,622,400.0,518
0,1,4.1,1000,2,16,21,800.0,518
1,0,3.8,613,0,10,216,600.0,518
1,0,2.9,42,0,43,585,250.0,518
1,0,3.7,194,0,43,468,400.0,518
1,0,3.7,158,18,15,105,700.0,518
1,1,4.1,1403,17,20,532,1100.0,109
1,0,3.9,153,17,27,190,400.0,518
1,1,2.9,90,2,15,595,800.0,518
1,0,3.1,140,0,15,477,600.0,518
1,0,4.1,463,0,10,152,500.0,518
1,0,4.2,384,2,52,604,600.0,422
0,0,4.0,177,2,43,452,400.0,518
1,0,3.6,70,0,43,512,350.0,243
1,1,4.0,790,17,15,296,1300.0,518
1,0,3.9,92,17,43,669,300.0,518
0,0,4.1,131,2,49,457,400.0,518
1,0,3.8,89,17,23,388,400.0,518
1,0,3.0,57,18,43,543,400.0,518
1,0,3.8,92,2,27,288,1100.0,518
1,0,3.0,57,17,15,262,650.0,518
1,0,4.3,133,17,22,70,300.0,518
0,0,4.0,164,2,0,314,250.0,518
1,0,3.9,161,17,22,488,500.0,341
1,0,4.0,308,18,10,174,750.0,518
1,0,2.6,208,17,15,261,650.0,518
1,0,3.4,116,2,15,582,400.0,518
1,0,2.7,48,2,46,242,650.0,518
1,0,3.7,127,17,10,214,700.0,518
1,1,3.9,727,17,10,185,800.0,518
0,0,3.9,125,2,10,201,500.0,518
1,0,2.6,170,2,15,398,600.0,518
0,0,3.8,89,2,15,484,550.0,518
1,0,4.0,507,17,14,208,1000.0,518
1,0,3.8,254,0,15,233,550.0,518
1,0,2.8,334,2,15,484,500.0,518
0,0,3.8,69,2,11,156,700.0,518
1,1,4.1,842,17,16,641,1100.0,237
1,0,4.0,88,17,0,70,500.0,518
1,0,3.5,283,0,43,83,350.0,518
1,1,4.1,293,17,15,381,500.0,518
0,0,2.9,106,2,15,484,450.0,518
1,0,3.0,61,0,10,146,650.0,518
0,0,2.8,80,2,15,19,650.0,518
1,1,4.0,347,17,15,531,1000.0,518
1,0,3.4,186,2,15,667,450.0,518
0,0,4.0,93,2,52,70,800.0,518
0,0,2.4,183,2,22,468,450.0,518
0,0,2.9,85,2,43,672,250.0,518
0,0,3.4,66,2,15,256,800.0,518
0,0,2.9,58,2,43,82,250.0,518
0,0,3.6,162,2,15,484,500.0,518
0,0,2.7,67,2,27,596,300.0,518
0,0,2.2,90,2,15,484,750.0,518
0,0,2.4,96,2,15,530,500.0,518
1,0,4.0,101,2,15,437,500.0,518
1,1,3.8,560,17,15,468,800.0,518
1,0,3.7,243,17,15,120,450.0,518
1,0,3.2,148,2,43,642,250.0,518
